"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0048813","GO:0048813",1,"GO:0007409",3.53300382414936,192,"dendrite morphogenesis","axonogenesis",0.720893203883495,0.324727272727273,0.83
"GO:0099560","GO:0099560",4,"GO:0098742",3.45814327922632,36,"synaptic membrane adhesion","cell-cell adhesion via plasma-membrane adhesion molecules",0.809640776699029,0.438,0.893
"GO:1903539","GO:1903539",5,"GO:0035418",3.45344397418437,67,"protein localization to postsynaptic membrane","protein localization to synapse",0.872961165048544,0.179571428571429,0.977
"GO:0099504","GO:0099504",13,"GO:0099003",3.41806814876476,230,"synaptic vesicle cycle","vesicle-mediated transport in synapse",0.873990291262136,0.509,0.982
"GO:0099558","GO:0099558",2,"GO:0007416",3.41755046697875,28,"maintenance of synapse structure","synapse assembly",0.83352427184466,0.411875,0.68
"GO:0021543","GO:0021543",6,"GO:0030900",3.3841702593034,182,"pallium development","forebrain development",0.820728155339806,0.313666666666667,0.898
"GO:0062237","GO:0062237",5,"GO:0035418",3.3719402209776,68,"protein localization to postsynapse","protein localization to synapse",0.878155339805825,0.226571428571429,0.979
"GO:0008038","GO:0008038",12,"GO:0001764",3.37024493576424,47,"neuron recognition","neuron migration",0.819038834951456,0.748,0.504
"GO:0060079","GO:0060079",8,"GO:0048167",3.2946465684231,95,"excitatory postsynaptic potential","regulation of synaptic plasticity",0.795242718446602,0.4324,0.663
"GO:1902074","GO:1902074",15,"GO:1902074",3.21107416115207,343,"response to salt","response to salt",0.988990291262136,1,0
"GO:0022898","GO:0022898",16,"GO:0022898",3.20245026933359,294,"regulation of transmembrane transporter activity","regulation of transmembrane transporter activity",0.850922330097087,0.336666666666667,0
"GO:0048675","GO:0048675",7,"GO:0060560",3.16389507135915,143,"axon extension","developmental growth involved in morphogenesis",0.68873786407767,0.243857142857143,0.941
"GO:0010976","GO:0010976",1,"GO:0007409",3.09280410805795,239,"positive regulation of neuron projection development","axonogenesis",0.681990291262136,0.327818181818182,0.729
"GO:0031503","GO:0031503",17,"GO:0031503",3.05777447313251,244,"protein-containing complex localization","protein-containing complex localization",0.916543689320388,0.5395,0
"GO:0048639","GO:0048639",7,"GO:0060560",3.01410411016052,221,"positive regulation of developmental growth","developmental growth involved in morphogenesis",0.820660194174757,0.312857142857143,0.79
"GO:1990778","GO:1990778",5,"GO:0035418",2.99243441847195,400,"protein localization to cell periphery","protein localization to synapse",0.881184466019417,0.389,0.567
"GO:0010970","GO:0010970",14,"GO:0030705",2.98057707426496,180,"transport along microtubule","cytoskeleton-dependent intracellular transport",0.879893203883495,0.358,0.987
"GO:0051961","GO:0051961",18,"GO:0051961",2.93857200154099,183,"negative regulation of nervous system development","negative regulation of nervous system development",0.784398058252427,0.32125,0
"GO:0097120","GO:0097120",17,"GO:0031503",2.86552399837103,87,"receptor localization to synapse","protein-containing complex localization",0.920631067961165,0.5395,0.921
"GO:0032409","GO:0032409",16,"GO:0022898",2.85133362709462,307,"regulation of transporter activity","regulation of transmembrane transporter activity",0.947116504854369,0.337666666666667,0.995
"GO:0060078","GO:0060078",11,"GO:0042391",2.84602218474157,130,"regulation of postsynaptic membrane potential","regulation of membrane potential",0.904563106796117,0.569,0.862
"GO:0050905","GO:0050905",19,"GO:0050905",2.77388934786072,204,"neuromuscular process","neuromuscular process",0.901543689320388,0.5605,0
"GO:0008361","GO:0008361",20,"GO:0008361",2.64599051879354,222,"regulation of cell size","regulation of cell size",0.812388349514563,0.363333333333333,0
"GO:0016049","GO:0016049",7,"GO:0060560",2.62741948508936,556,"cell growth","developmental growth involved in morphogenesis",0.917106796116505,0.257571428571429,0.818
"GO:0099010","GO:0099010",2,"GO:0007416",2.60842699287803,34,"modification of postsynaptic structure","synapse assembly",0.826466019417476,0.3770625,0.696
"GO:0060996","GO:0060996",1,"GO:0007409",2.55602360348241,134,"dendritic spine development","axonogenesis",0.735990291262136,0.374909090909091,0.702
"GO:0050768","GO:0050768",18,"GO:0051961",2.53782816370317,175,"negative regulation of neurogenesis","negative regulation of nervous system development",0.762339805825243,0.313,0.995
"GO:0035249","GO:0035249",8,"GO:0048167",2.5281308100302,129,"synaptic transmission, glutamatergic","regulation of synaptic plasticity",0.923514563106796,0.4976,0.677
"GO:0021700","GO:0021700",21,"GO:0021700",2.46492199896134,389,"developmental maturation","developmental maturation",0.914543689320388,0.5715,0
"GO:0051965","GO:0051965",2,"GO:0007416",2.43595294828924,82,"positive regulation of synapse assembly","synapse assembly",0.624922330097087,0.271875,0.89
"GO:0031340","GO:0031340",22,"GO:0031340",2.42897965176559,19,"positive regulation of vesicle fusion","positive regulation of vesicle fusion",0.755184466019417,0.2986,0
