gene,frequency,go_terms
Rims2,5,"neuron projection extension (GO:1990138, p=2.20e-10); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); cell growth (GO:0016049, p=2.02e-05); regulation of developmental growth (GO:0048638, p=2.53e-05)"
Syt1,5,"neuron projection extension (GO:1990138, p=2.20e-10); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); cell growth (GO:0016049, p=2.02e-05); regulation of developmental growth (GO:0048638, p=2.53e-05)"
Plxna2,4,"axonogenesis (GO:0007409, p=1.13e-14); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axonogenesis (GO:0050770, p=1.56e-05)"
Lgi1,4,"axonogenesis (GO:0007409, p=1.13e-14); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); cell growth (GO:0016049, p=2.02e-05)"
Tmem108,4,"neuron projection extension (GO:1990138, p=2.20e-10); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); cell growth (GO:0016049, p=2.02e-05)"
Tuba1a,4,"locomotory behavior (GO:0007626, p=7.05e-06); adult locomotory behavior (GO:0008344, p=6.18e-05); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Shank2,4,"locomotory behavior (GO:0007626, p=7.05e-06); adult locomotory behavior (GO:0008344, p=6.18e-05); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Dnm3,4,"negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Unc5d,3,"axonogenesis (GO:0007409, p=1.13e-14); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07)"
Ctnna2,3,"axonogenesis (GO:0007409, p=1.13e-14); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Klf7,3,"axonogenesis (GO:0007409, p=1.13e-14); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07)"
Tubb2b,3,"axonogenesis (GO:0007409, p=1.13e-14); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07)"
Cntn5,3,"axonogenesis (GO:0007409, p=1.13e-14); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07)"
