"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Dpyd",4.67824580441549e-06,-0.558028540094898,0.427,0.421,0.117176022663195,"Dpyd","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Nrcam",4.69242102922793e-06,-0.227468030959817,0.939,0.825,0.117531069519072,"Nrcam","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Pdzd2",4.85059299030217e-06,0.503223427580212,0.859,0.552,0.121492802628098,"Pdzd2","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Myl6",5.22164639984792e-06,-1.12769453808157,0.25,0.238,0.130786577376991,"Myl6","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Pabpc1",5.67095769485784e-06,0.463324632763615,0.575,0.257,0.142040477383104,"Pabpc1","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Ywhag",6.11132538711683e-06,-0.92116126368476,0.49,0.421,0.153070366971115,"Ywhag","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Cep295",7.36196863543814e-06,0.78376622530995,0.381,0.115,0.184395228411819,"Cep295","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Gap43",8.2301675387379e-06,-0.337785119721332,0.774,0.607,0.206141006342768,"Gap43","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Gnb2",8.86719905983217e-06,-1.19586487975807,0.272,0.265,0.222096734851616,"Gnb2","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Csmd3",9.3447996244373e-06,-0.369310446891703,0.998,0.992,0.234059196193281,"Csmd3","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Foxj3",9.42462631498553e-06,-0.430663143032454,0.337,0.221,0.236058615311443,"Foxj3","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Atp6v0b",9.4883468362835e-06,0.346279669976532,0.9,0.615,0.237654623208393,"Atp6v0b","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Col11a1",9.79245674690969e-06,-0.944501029075306,0.255,0.254,0.245271664139847,"Col11a1","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Hectd2os",9.89734247416256e-06,1.38470021203543,0.299,0.077,0.24789873695035,"Hectd2os","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Ssbp3",1.03379353001732e-05,-0.413367523408699,0.449,0.317,0.258934265463437,"Ssbp3","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Peg3",1.05016841845495e-05,-0.361044040163704,0.665,0.516,0.263035683770411,"Peg3","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Ranbp2",1.38161153152397e-05,-0.249237636005217,0.519,0.333,0.346052240300809,"Ranbp2","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Ptprk",1.48395146382799e-05,0.384625751214978,0.697,0.429,0.371685323144996,"Ptprk","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Arid1a",1.66731969824602e-05,-0.4349277997868,0.471,0.303,0.41761356481968,"Arid1a","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Atp8a2",1.68560870222492e-05,-0.23996856432532,0.818,0.639,0.422194411646277,"Atp8a2","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Rgs11",1.71562558296996e-05,0.631188706949536,0.57,0.23,0.429712739766486,"Rgs11","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Arnt2",1.72678966363208e-05,-0.299995244490032,0.425,0.281,0.432509007049928,"Arnt2","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Dpysl3",1.7778406107928e-05,-0.401923366928943,0.748,0.546,0.445295737785272,"Dpysl3","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Zkscan3",2.02847422939606e-05,0.747706774737924,0.4,0.128,0.508071940236832,"Zkscan3","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Tmem65",2.23775340200637e-05,0.788192020342615,0.337,0.096,0.560490094600535,"Tmem65","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Maged1",2.41589557234511e-05,-0.814038751699681,0.405,0.352,0.605109364005279,"Maged1","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Rcor1",2.62710186716323e-05,0.723294510901666,0.286,0.082,0.658010204668373,"Rcor1","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Csnk1g3",2.62948488369008e-05,0.235114691580497,0.68,0.339,0.658607078817855,"Csnk1g3","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Cdh9",2.63496708249607e-05,0.217281562650824,0.728,0.516,0.65998020515279,"Cdh9","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Enc1",2.67964656682807e-05,-1.9488902735765,0.16,0.254,0.671171075593426,"Enc1","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Sf3b1",2.76560061453169e-05,-0.294170168842602,0.672,0.426,0.692699985921751,"Sf3b1","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Safb",2.85015477128775e-05,0.655120460939868,0.444,0.153,0.713878265564443,"Safb","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Phc3",2.91115692315642e-05,0.250083804130099,0.49,0.216,0.729157474542989,"Phc3","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Auts2",2.92397075517092e-05,-0.308812656255873,0.985,0.926,0.73236695504766,"Auts2","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Grm3",2.98540993361177e-05,0.496523500112355,0.893,0.645,0.74775562607174,"Grm3","L56ExcitatoryNeurons","24hrvs1hr_SAL","Up","Sig"
"Ttc3",3.03736722435612e-05,-0.250328060939757,0.93,0.811,0.760769368684478,"Ttc3","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Fbxl5",3.15068032247435e-05,-0.580249592869487,0.468,0.336,0.789150900370151,"Fbxl5","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Rps29",3.33599063476053e-05,-1.18530135054293,0.284,0.273,0.83556557428847,"Rps29","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
"Kpnb1",3.37841250173539e-05,-0.975096408530929,0.277,0.224,0.846190979309663,"Kpnb1","L56ExcitatoryNeurons","24hrvs1hr_SAL","Down","Sig"
