"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Kcnh7",4.03761138840519e-12,-0.383506209818421,0.965,0.991,1.01130052445385e-07,"Kcnh7","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Tubb2b",8.70422057880182e-12,1.13349917590501,0.614,0.486,2.18014612837249e-07,"Tubb2b","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Grm3",2.86300596760943e-11,-0.629536997885253,0.506,0.71,7.17097104707135e-07,"Grm3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Snca",1.4171950583123e-10,-0.594757982775831,0.44,0.662,3.54964846255481e-06,"Snca","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Pclo",1.49634019232848e-10,-0.387378055716592,0.841,0.96,3.74788327972514e-06,"Pclo","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Lgi1",1.55318214388314e-10,-0.418595347121046,0.379,0.628,3.89025531578411e-06,"Lgi1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Lhfp",1.69231826460241e-10,-0.712587615847559,0.415,0.623,4.23874955734965e-06,"Lhfp","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Fstl5",1.91822190013377e-10,-1.00079957365355,0.314,0.502,4.80457039326506e-06,"Fstl5","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Hexb",4.32979718897873e-10,-0.591561231479359,0.251,0.453,1.0844843019235e-05,"Hexb","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"mt-Nd4",4.8623875107486e-10,1.10551204884693,0.473,0.348,1.2178821998172e-05,"mt-Nd4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Kcnh1",5.10000701678557e-10,-0.462239811547562,0.417,0.643,1.27739875749428e-05,"Kcnh1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"9630014M24Rik",5.56687782662952e-10,-0.832540893120487,0.152,0.332,1.3943358892359e-05,"9630014M24Rik","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Adgrl2",5.97075381011537e-10,-0.315754443089938,0.468,0.703,1.4954947068196e-05,"Adgrl2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Lmo3",7.35396741096102e-10,-1.34511145323928,0.11,0.265,1.84194821742341e-05,"Lmo3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Rora",8.48928481154921e-10,-0.876936478348561,0.489,0.671,2.12631116674873e-05,"Rora","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Sil1",8.59631183072081e-10,-0.961025772809275,0.145,0.316,2.15311822424064e-05,"Sil1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"mt-Nd2",8.93935683552592e-10,1.09631731510759,0.534,0.434,2.23904070659418e-05,"mt-Nd2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Tmtc2",1.0231276027496e-09,-0.808502193355501,0.255,0.444,2.56262770660691e-05,"Tmtc2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Thsd4",1.03432171375811e-09,-1.22355790570372,0.103,0.256,2.59066559644995e-05,"Thsd4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Gabrb1",1.08354651790566e-09,-0.324213664296883,0.939,0.991,2.71395896339831e-05,"Gabrb1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Tmeff2",1.2112814134287e-09,-0.624546141974263,0.597,0.739,3.03389655621486e-05,"Tmeff2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Rims1",1.30723380827304e-09,-0.286727425155654,0.974,0.991,3.27422851958148e-05,"Rims1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Adamts3",2.37018018736881e-09,-0.696391625423148,0.344,0.53,5.93659031530267e-05,"Adamts3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Adcy2",4.38113576631488e-09,-0.562362665674973,0.513,0.697,0.000109734307538889,"Adcy2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Elmo1",4.71061600802576e-09,-0.597692705308097,0.288,0.494,0.000117986799153021,"Elmo1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Tubb2a",5.80940283585907e-09,1.05601714702872,0.667,0.62,0.000145508112829762,"Tubb2a","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Actb",6.05726156366138e-09,0.929232313677805,0.595,0.515,0.000151716230385027,"Actb","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Fam92a",6.30718346060072e-09,-0.744608187431822,0.204,0.383,0.000157976024137666,"Fam92a","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Gm34544",6.47626655172097e-09,-0.959620112679109,0.178,0.346,0.000162211048320955,"Gm34544","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Slc1a2",9.5870166837006e-09,-0.484923010200494,0.44,0.645,0.000240126006876649,"Slc1a2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Opcml",1.02547808259615e-08,-0.285374514667526,0.972,0.994,0.000256851495347858,"Opcml","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
