"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Senp7",5.81917212126149e-09,0.393644416273958,0.525,0.263,0.000145752804121236,"Senp7","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Ston2",5.84153487932831e-09,0.959735082257837,0.251,0.091,0.000146312924122536,"Ston2","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Nln",5.85211454311823e-09,0.570662128421435,0.346,0.148,0.000146577912961482,"Nln","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Pfkp",7.29711919958527e-09,0.475158001216478,0.413,0.195,0.000182770944592012,"Pfkp","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Plxna2",7.5004540325284e-09,0.41211942014142,0.659,0.388,0.000187863872152739,"Plxna2","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Nhsl1",8.1037475169078e-09,0.581078970388476,0.37,0.167,0.00020297456405599,"Nhsl1","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"4732471J01Rik",9.69839741367108e-09,0.754927186968228,0.326,0.143,0.00024291576002022,"4732471J01Rik","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Rufy3",1.19006576019996e-08,0.492104333011322,0.566,0.302,0.000298075770957285,"Rufy3","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Msra",1.32201348327975e-08,0.404212590085988,0.943,0.768,0.000331124717157079,"Msra","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Ube3c",1.4199212886824e-08,0.528301844165684,0.451,0.229,0.000355647685176281,"Ube3c","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
"Lrfn2",1.49744448992933e-08,0.401612621164693,0.569,0.31,0.0003750649213926,"Lrfn2","ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL","Up"
