"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Hcrtr2",9.62014433020412e-21,0.635111751467762,0.397,0.166,2.40955755038623e-16,"Hcrtr2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm48512",1.13180862410611e-20,0.696924802663781,0.309,0.109,2.83484106079857e-16,"Gm48512","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Specc1l",1.13358502600817e-20,0.513885163971647,0.49,0.222,2.83929041464267e-16,"Specc1l","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Kcnk2",1.14228016287627e-20,0.63160243382207,0.435,0.19,2.86106912395618e-16,"Kcnk2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Xkr6",1.34789393349529e-20,0.455499217850234,0.727,0.411,3.37606993522564e-16,"Xkr6","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm37459",1.88344789503703e-20,0.593440421236639,0.413,0.176,4.71747194269924e-16,"Gm37459","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Ank2",1.92664160899481e-20,0.230042197424587,0.999,0.986,4.82565923804929e-16,"Ank2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Tbck",2.01920866417387e-20,0.482001780690836,0.57,0.283,5.0575119411563e-16,"Tbck","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm49797",3.34155906114635e-20,0.497772291150666,0.488,0.225,8.36960298045326e-16,"Gm49797","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Mapk4",3.3514376267497e-20,0.446419157663573,0.509,0.236,8.39434582371997e-16,"Mapk4","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Fam124a",3.39287632313176e-20,0.72447921095256,0.288,0.098,8.49813732654813e-16,"Fam124a","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Ccdc30",4.46191115750901e-20,0.649537101778801,0.391,0.162,1.11757488762128e-15,"Ccdc30","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Acyp2",4.75861217996286e-20,0.551009291643643,0.388,0.159,1.1918895927153e-15,"Acyp2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Bend6",5.82597191440197e-20,0.463665527455985,0.5,0.231,1.45923118540026e-15,"Bend6","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Jakmip1",6.06988350119246e-20,0.527715992342353,0.396,0.164,1.52032372054368e-15,"Jakmip1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
