"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cntn5",5.76613770738043e-08,-0.261888082496322,0.903,0.962,0.00144424451156758,"Cntn5","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"D5Ertd579e",6.03925933940203e-08,-0.535881642766919,0.178,0.308,0.00151265328674003,"D5Ertd579e","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Kdm4c",6.1818717564442e-08,-0.300985499691018,0.348,0.533,0.00154837341883658,"Kdm4c","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Safb",6.74199606818079e-08,-0.334789692537956,0.2,0.343,0.00168866775519724,"Safb","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Cep112",7.8279275084247e-08,-0.365657240467996,0.382,0.559,0.00196066100303514,"Cep112","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Fam189a1",1.17571382874931e-07,-0.321561235617876,0.358,0.521,0.00294481042686841,"Fam189a1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Fer",1.1853609917712e-07,-0.327355089282753,0.203,0.344,0.00296897367608932,"Fer","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Xrcc4",1.18775325371935e-07,-0.569255734666823,0.144,0.261,0.00297496557459086,"Xrcc4","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Cnrip1",1.25054621662285e-07,-0.519068433903913,0.216,0.351,0.00313224310877525,"Cnrip1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Rsbn1l",1.46546248588993e-07,-0.373771562171057,0.155,0.28,0.0036705438884085,"Rsbn1l","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"E130307A14Rik",1.57572069460418e-07,-0.360823700885299,0.297,0.452,0.00394670762377508,"E130307A14Rik","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Gmds",1.62260374925443e-07,-0.316280385790984,0.404,0.587,0.00406413561075757,"Gmds","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"A830018L16Rik",1.86532066243781e-07,-0.258796707460926,0.399,0.587,0.00467206866320799,"A830018L16Rik","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Gm20754",2.00213250218539e-07,-0.207070874404057,0.913,0.969,0.00501474127822374,"Gm20754","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Lrrn3",2.1567947527188e-07,-0.395542561855247,0.234,0.37,0.00540212381713479,"Lrrn3","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Orc3",2.36759953214051e-07,-0.426137004969789,0.159,0.28,0.00593012654815234,"Orc3","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Slit3",2.4802289834098e-07,-0.228741590941812,0.923,0.977,0.00621222953474653,"Slit3","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Apba1",2.67561966914246e-07,-0.253315843501094,0.425,0.633,0.00670162458530112,"Apba1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Cdc73",2.93545872037373e-07,-0.524288641401552,0.216,0.348,0.00735244345692009,"Cdc73","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Frmd4a",3.14280981157524e-07,-0.240632308197722,0.875,0.959,0.00787179573505251,"Frmd4a","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Mtus2",3.18653219810512e-07,-0.315769070955247,0.443,0.621,0.0079813071965939,"Mtus2","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Raf1",3.40857281674946e-07,-0.297185410959078,0.268,0.426,0.00853745233411238,"Raf1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Reep1",3.40889789311198e-07,-0.234816333962317,0.234,0.385,0.00853826655287757,"Reep1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Jazf1",3.47373108684502e-07,-0.298817997539772,0.427,0.615,0.00870065425322073,"Jazf1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Mrtfa",3.6742896414688e-07,-0.252142266902475,0.291,0.448,0.00920299326498692,"Mrtfa","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Nt5c2",3.91467217134236e-07,-0.26644771652403,0.291,0.457,0.00980507938756121,"Nt5c2","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Kcnd2",4.27323183459835e-07,-0.213894556874625,0.943,0.98,0.0107031637761185,"Kcnd2","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Hspa8",4.35384241030842e-07,0.889070597322322,0.497,0.448,0.0109050690850995,"Hspa8","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Up"
"Ppp2r3a",4.53377690290396e-07,-0.363956979281964,0.247,0.397,0.0113557510087035,"Ppp2r3a","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Tmem178b",4.76335413651024e-07,-0.437022253570469,0.258,0.403,0.0119307731057172,"Tmem178b","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
