"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"March1",1.34122616185824e-14,-0.427028364118651,0.976,0.989,3.35936916760634e-10,"March1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Mapk4",1.35652166563298e-14,0.600594113999599,0.53,0.247,3.39767981591092e-10,"Mapk4","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Vps13c",1.37114777345728e-14,0.644009832513587,0.599,0.292,3.43431382817844e-10,"Vps13c","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ndrg3",1.43710696387847e-14,0.556800015401174,0.639,0.323,3.59952181242639e-10,"Ndrg3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Galnt18",1.47632003101282e-14,0.445855834982075,0.761,0.431,3.69773878167782e-10,"Galnt18","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"D130043K22Rik",1.55506862791727e-14,0.753335755673914,0.448,0.195,3.89498039234438e-10,"D130043K22Rik","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gria3",1.60298924964362e-14,0.521445663702009,0.814,0.539,4.01500717358238e-10,"Gria3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Prmt8",1.73514025506714e-14,0.780474959925091,0.474,0.212,4.34600579686666e-10,"Prmt8","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Dtnbp1",1.75232666740549e-14,0.903560584655695,0.373,0.141,4.38905260385053e-10,"Dtnbp1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Arl13b",1.81415720015688e-14,0.825378267685359,0.329,0.11,4.54391953923293e-10,"Arl13b","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Sphkap",1.87358657576395e-14,0.554148812986715,0.787,0.498,4.69277229631597e-10,"Sphkap","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Dlg2",1.93350998242089e-14,0.21594141660797,1,1,4.8428624529696e-10,"Dlg2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gfod2",1.97555047196614e-14,0.889101068864849,0.346,0.121,4.9481612671336e-10,"Gfod2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gabrb1",2.60073771552812e-14,0.389373912095924,0.991,0.885,6.51406775608327e-10,"Gabrb1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ptbp2",2.61820991212244e-14,-0.686183432825678,0.883,0.82,6.55783036689309e-10,"Ptbp2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Man2a1",2.62166050877885e-14,0.666053040896553,0.433,0.182,6.56647307633839e-10,"Man2a1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Kcnma1",2.82416362806431e-14,0.362353785415554,0.992,0.926,7.07368263921269e-10,"Kcnma1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Dop1b",2.83844796530191e-14,0.538867322982372,0.517,0.238,7.10946061869169e-10,"Dop1b","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Osbpl3",2.84946669518775e-14,0.892225486130832,0.369,0.141,7.13705923143675e-10,"Osbpl3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cdh8",2.94943934671184e-14,0.741586980821402,0.841,0.613,7.38746073170914e-10,"Cdh8","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
