"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Pcnx4",8.98060028804809e-07,-0.37050945210674,0.181,0.273,0.0224937095414741,"Pcnx4","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Pura",9.16691286739998e-07,-0.330174973129075,0.393,0.511,0.0229603666589767,"Pura","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Cdr1os",9.45620775796699e-07,-0.232151291501282,0.875,0.905,0.0236849635713799,"Cdr1os","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Hsp90b1",9.52963665811777e-07,-0.34887745729303,0.228,0.326,0.0238688809375876,"Hsp90b1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Bcl11b",9.78621091169563e-07,0.350376672196659,0.72,0.702,0.024511522470524,"Bcl11b","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Uxs1",9.85734774969465e-07,-0.371571172166592,0.238,0.332,0.0246896989086602,"Uxs1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Macf1",9.87404069514276e-07,0.209370152822637,0.94,0.944,0.0247315097291241,"Macf1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Nrgn",1.03122729697368e-06,-0.262335599203385,0.58,0.678,0.0258291501072996,"Nrgn","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Cnrip1",1.05254601934604e-06,-0.259464678628815,0.374,0.483,0.0263631201465602,"Cnrip1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Zeb1",1.05661191327008e-06,-0.378046163791673,0.273,0.377,0.0264649585916756,"Zeb1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Kcnab2",1.05876069385004e-06,-0.385479716721006,0.213,0.31,0.026518779098862,"Kcnab2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Cyth3",1.06180768787448e-06,0.512465774962464,0.486,0.414,0.0265950971581921,"Cyth3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Ociad1",1.09893065008554e-06,-0.314275397557093,0.276,0.379,0.0275249159926926,"Ociad1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Spopl",1.11096463497865e-06,-0.309731879340255,0.355,0.458,0.0278263312123102,"Spopl","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Camk1d",1.11986590832541e-06,0.203215064403041,0.89,0.919,0.0280492814058266,"Camk1d","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Swt1",1.12391444261802e-06,0.79526615549467,0.296,0.221,0.0281506850442535,"Swt1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Prpf40a",1.13878319646315e-06,-0.247941858666876,0.511,0.627,0.0285231027218125,"Prpf40a","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Ksr1",1.14427934582174e-06,-0.306497725852857,0.434,0.548,0.028660764774797,"Ksr1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Rcor1",1.20078566594404e-06,0.788181688279889,0.291,0.22,0.0300760785749003,"Rcor1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Kif5a",1.24346222441386e-06,0.423951294909447,0.595,0.544,0.0311449983348941,"Kif5a","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Sorcs3",1.25459919892239e-06,0.228805087319937,0.815,0.782,0.0314239461354092,"Sorcs3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Scd2",1.29887956322097e-06,-0.34335704690793,0.354,0.464,0.0325330364199957,"Scd2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Copg2",1.31387014675092e-06,-0.404186641690036,0.302,0.401,0.0329085055656703,"Copg2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Brd9",1.33405132029198e-06,0.435850961319966,0.653,0.625,0.0334139834193532,"Brd9","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Chd2",1.41191614118118e-06,0.379618941023799,0.639,0.614,0.0353642635881651,"Chd2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Rps9",1.41577125478433e-06,-0.562947243454228,0.172,0.253,0.0354608226185832,"Rps9","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Shank1",1.52144514412071e-06,0.461026232664891,0.598,0.58,0.0381076365247915,"Shank1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Cyc1",1.58472593934157e-06,-0.26819177534957,0.172,0.261,0.0396926306026884,"Cyc1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Gpcpd1",1.62511959773305e-06,-0.28896745868165,0.458,0.561,0.0407043705644198,"Gpcpd1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Hint1",1.63065186853683e-06,-0.437561707206386,0.206,0.297,0.040842937351242,"Hint1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Zbtb11",1.66132184901423e-06,-0.350056681826508,0.304,0.404,0.0416111283522594,"Zbtb11","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Plekha5",1.70617097643545e-06,-0.201380586534758,0.71,0.815,0.0427344644467788,"Plekha5","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Slc16a7",1.71985922870262e-06,0.457747701670531,0.578,0.54,0.0430773141013145,"Slc16a7","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Pnn",1.72045520239857e-06,-0.329075647656022,0.278,0.379,0.0430922414544769,"Pnn","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Fbxl5",1.74416238660552e-06,-0.27847482124864,0.457,0.569,0.0436860352973085,"Fbxl5","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Phactr3",1.75839716474367e-06,0.461738500640951,0.536,0.5,0.0440425737853348,"Phactr3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Prkar1a",1.79966675151639e-06,-0.265982876342146,0.342,0.45,0.0450762531252311,"Prkar1a","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Catspere2",1.82323496009074e-06,-0.515392006324929,0.192,0.277,0.0456665660453927,"Catspere2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Pcyt2",1.87515672461466e-06,0.715745866633328,0.374,0.302,0.0469670504814233,"Pcyt2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Rasgef1b",1.92673528458176e-06,0.33037106705511,0.687,0.621,0.0482589386729193,"Rasgef1b","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Rnf14",1.94644456654624e-06,-0.3675846617441,0.278,0.375,0.0487525970582837,"Rnf14","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"C530008M17Rik",1.96764255217683e-06,0.269151600384943,0.757,0.771,0.049283543004373,"C530008M17Rik","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Rgl1",1.99252030387641e-06,-0.331899580026464,0.374,0.472,0.0499066560511923,"Rgl1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
