"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0099634","GO:0099634","postsynaptic specialization membrane","18/428","151/17673",2.71802535048171e-08,1.26659981332448e-05,7.51683565826999e-07,"Dlg2/Hspa8/Gabrb3/Grin2b/Lrrc7/Nrg1/Ptprt/Shisa6/Lrrtm4/Grik2/Adam22/Il1rapl1/Gabrb1/Clstn1/Dgkb/Kcnd2/Nptn/Gabra2",18,4.8973605803164,0.0420560747663551,0.00854410682962711,4.92223184997215,24.1059442292315,"Astrocytes","24hrvs1hr_SAL"
"GO:0042734","GO:0042734","presynaptic membrane","22/428","231/17673",4.98933713149161e-08,2.32503110327509e-05,1.26484072894831e-06,"Syt1/Ptprd/Grm3/Cntnap2/Grm7/Ppfia2/Grin2b/Nrg1/Cacna2d1/Cntn1/Atp2b1/Grik2/Cadm1/Gabbr1/Syt11/Gabrb1/Kcnq5/Canx/Nptn/Gabra2/Itsn1/Stxbp5",22,4.6335712329287,0.0514018691588785,0.0130707859446613,3.93257676902537,18.2218745882396,"Astrocytes","24hrvs1hr_SAL"
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","17/428","142/17673",6.21636199702989e-08,2.89682469061593e-05,1.45467904221995e-06,"Tubb2b/Actb/Ptprd/Actg1/Anks1b/Ppp3ca/Cadm1/Gabbr1/Syt11/Gabrb1/Synj1/Dgkb/Ptpra/Syn2/Nptn/Myo9a/Stxbp5",17,4.53807778653661,0.0397196261682243,0.00803485542918576,4.94341516388048,22.4336025448343,"Astrocytes","24hrvs1hr_SAL"
"GO:0044304","GO:0044304","main axon","13/428","84/17673",1.08029520989064e-07,5.03417567809039e-05,2.34740838840899e-06,"Dlg2/Ank3/Cntnap2/Lrrc7/Gabbr1/Adam22/Map1b/Map2/Mapt/Mgll/Sptbn1/Pard3/App",13,4.29807163290884,0.0303738317757009,0.00475301307078594,6.39043724966622,27.4665570646744,"Astrocytes","24hrvs1hr_SAL"
"GO:0098982","GO:0098982","GABA-ergic synapse","16/428","132/17673",1.2781365172615e-07,5.9561161704386e-05,2.59215055079701e-06,"Nbea/Gabrb3/Cntnap2/Grm7/Nrg1/Atp2b1/Lrrtm4/Gabbr1/Ncan/Gabrb1/Clstn1/Pclo/Kcnd2/Nptn/Gabra2/Cspg5",16,4.22503684018641,0.0373831775700935,0.00746902053980648,5.00509770603229,21.1467221967189,"Astrocytes","24hrvs1hr_SAL"
"GO:0048787","GO:0048787","presynaptic active zone membrane","11/428","63/17673",2.93271385352495e-07,0.000136664465574263,5.5760151557152e-06,"Cntnap2/Grm7/Grin2b/Nrg1/Cacna2d1/Atp2b1/Syt11/Gabrb1/Canx/Nptn/Gabra2",11,3.86434439260956,0.0257009345794393,0.00356475980308946,7.20972407654651,27.8608568074646,"Astrocytes","24hrvs1hr_SAL"
"GO:0008021","GO:0008021","synaptic vesicle","21/428","247/17673",6.75488473896848e-07,0.000314777628835931,1.20876884802594e-05,"Dlg2/Hspa8/Syt1/Ppfia2/Grin2b/Calm1/Atp2b1/Dbi/Cadm1/Gabbr1/Syt11/Rab14/Cttnbp2/Ston2/Dmxl2/Prkn/Pde4b/App/Syn2/Gabra2/Stxbp5",21,3.50199614041191,0.0490654205607477,0.0139761217676682,3.5106606379356,12.2943200043465,"Astrocytes","24hrvs1hr_SAL"
"GO:0043209","GO:0043209","myelin sheath","18/428","192/17673",1.04299918866803e-06,0.000486037621919303,1.75123513305444e-05,"Ubb/Tuba1a/Hsp90aa1/Hspa8/Actb/Actg1/Ckb/Ppia/Gnao1/Atp1b1/Cntn1/Calm1/Glul/Bcl2/Pard3/Eef1a1/Canx/Syn2",18,3.31333011271389,0.0420560747663551,0.0108640298760822,3.87113025700935,12.8263324507869,"Astrocytes","24hrvs1hr_SAL"
"GO:0034702","GO:0034702","monoatomic ion channel complex","22/428","276/17673",1.0937645035167e-06,0.000509694258638783,1.75123513305444e-05,"Gabrb3/Cntnap2/Kcnip4/Grin2b/Cacna2d1/Dpp6/Calm1/Shisa6/Lrrtm4/Grik2/Akap6/Cachd1/Gabrb1/Kcnq5/Cacna2d3/Ttyh3/Kcnd2/Pde4d/Pde4b/Gabra2/Cacnb2/Stxbp5",22,3.29269025841745,0.0514018691588785,0.0156170429468681,3.29139577407558,10.837546801895,"Astrocytes","24hrvs1hr_SAL"
"GO:1902495","GO:1902495","transmembrane transporter complex","25/428","351/17673",1.62853408882957e-06,0.000758896885394579,2.47708606143024e-05,"Gabrb3/Cntnap2/Kcnip4/Grin2b/Atp1b1/Cacna2d1/Dpp6/Calm1/Shisa6/Atp1b2/Lrrtm4/Grik2/Akap6/Cachd1/Gabrb1/Atp6v0b/Kcnq5/Cacna2d3/Ttyh3/Kcnd2/Pde4d/Pde4b/Gabra2/Cacnb2/Stxbp5",25,3.11981722956746,0.058411214953271,0.0198608046172127,2.94102963495487,9.17547492780069,"Astrocytes","24hrvs1hr_SAL"
"GO:0070382","GO:0070382","exocytic vesicle","21/428","267/17673",2.37641957042527e-06,0.00110741151981817,3.44253261079149e-05,"Dlg2/Hspa8/Syt1/Ppfia2/Grin2b/Calm1/Atp2b1/Dbi/Cadm1/Gabbr1/Syt11/Rab14/Cttnbp2/Ston2/Dmxl2/Prkn/Pde4b/App/Syn2/Gabra2/Stxbp5",21,2.95569096306407,0.0490654205607477,0.0151077915464268,3.24768980363331,9.59916740343429,"Astrocytes","24hrvs1hr_SAL"
"GO:0098839","GO:0098839","postsynaptic density membrane","13/428","114/17673",3.87615525327148e-06,0.00180628834802451,5.35985104399741e-05,"Dlg2/Grin2b/Lrrc7/Nrg1/Ptprt/Shisa6/Lrrtm4/Grik2/Adam22/Il1rapl1/Clstn1/Dgkb/Nptn",13,2.74321291960393,0.0303738317757009,0.00645051773892378,4.70874323659616,12.9170852817282,"Astrocytes","24hrvs1hr_SAL"
"GO:0060076","GO:0060076","excitatory synapse","12/428","98/17673",4.32087815820656e-06,0.00201352922172425,5.71502877675833e-05,"Syt1/Cntnap2/Grin2b/Shisa6/Palld/Syt11/Plcb4/Synj1/Pclo/Ntm/Plxna4/Pde4b",12,2.69604206322988,0.0280373831775701,0.00554518191591694,5.05617013160404,13.631647353651,"Astrocytes","24hrvs1hr_SAL"
"GO:1990351","GO:1990351","transporter complex","25/428","374/17673",5.0398582786315e-06,0.00234857395784228,6.38824141458116e-05,"Gabrb3/Cntnap2/Kcnip4/Grin2b/Atp1b1/Cacna2d1/Dpp6/Calm1/Shisa6/Atp1b2/Lrrtm4/Grik2/Akap6/Cachd1/Gabrb1/Atp6v0b/Kcnq5/Cacna2d3/Ttyh3/Kcnd2/Pde4d/Pde4b/Gabra2/Cacnb2/Stxbp5",25,2.62919575910132,0.058411214953271,0.021162224862785,2.76016417612075,7.25701194628004,"Astrocytes","24hrvs1hr_SAL"
"GO:0031594","GO:0031594","neuromuscular junction","12/428","105/17673",8.91269574009999e-06,0.0041533162148866,0.000108453434479533,"Dlg2/Tuba1a/Ank3/Nrg1/Large1/Pdzrn3/Utrn/Lama2/Prkce/Pclo/App/Stxbp5",12,2.38160500239545,0.0280373831775701,0.00594126633848243,4.71909212283044,11.239013406498,"Astrocytes","24hrvs1hr_SAL"
"GO:0043679","GO:0043679","axon terminus","16/428","187/17673",1.33071520904611e-05,0.00620113287415489,0.000155699066969363,"Hspa8/Actb/Actg1/Gabrb3/Grm7/Grin2b/Slc8a1/Glul/Grik2/Hnrnpk/Syt11/Kcnq5/Prkn/Pclo/Hnrnpr/Itsn1",16,2.20752896275174,0.0373831775700935,0.0105811124313925,3.53301014543455,7.79922222174253,"Astrocytes","24hrvs1hr_SAL"
"GO:0044306","GO:0044306","neuron projection terminus","17/428","209/17673",1.40035064095265e-05,0.00652563398683935,0.000157778298337355,"Hspa8/Syt1/Actb/Actg1/Gabrb3/Grm7/Grin2b/Slc8a1/Glul/Grik2/Hnrnpk/Syt11/Kcnq5/Prkn/Pclo/Hnrnpr/Itsn1",17,2.18537728880033,0.0397196261682243,0.0118259491880269,3.35868398694272,7.33999170532194,"Astrocytes","24hrvs1hr_SAL"
"GO:0044295","GO:0044295","axonal growth cone","8/428","48/17673",1.78873650644912e-05,0.0083355121200529,0.000194340169309698,"Hsp90aa1/Hsp90ab1/Palld/Trak1/Mapt/Agrn/Pard3/Myo9a",8,2.07906771268293,0.0186915887850467,0.00271600746902054,6.88200934579439,14.3081634292233,"Astrocytes","24hrvs1hr_SAL"
"GO:0005667","GO:0005667","transcription regulator complex","27/428","478/17673",4.39053629305489e-05,0.0204598991256358,0.000458061659760989,"Pou2f1/Pbx1/Gli3/Tcf7l2/Wwox/Pax6/Cbx5/Tle4/Nrf1/Hipk2/Thra/Nfyc/Atf7ip/Thrb/Hivep2/Crebbp/Tcf7l1/Prdm16/Gatad2b/Chd3/Tbl1xr1/Taf1d/Atxn7/Cbfb/Bach2/Atf7/Rb1",27,1.68909651184027,0.0630841121495327,0.0270469077123295,2.33239647284245,3.93964274650673,"Astrocytes","24hrvs1hr_SAL"
"GO:0030133","GO:0030133","transport vesicle","22/428","349/17673",4.5328270825708e-05,0.0211229742047799,0.000458061659760989,"Dlg2/Hspa8/Syt1/Ppfia2/Grin2b/Calm1/Atp2b1/Dbi/Cadm1/Gabbr1/Syt11/Rab14/Cttnbp2/Ston2/Fgfr3/Dmxl2/Prkn/Pde4b/App/Syn2/Gabra2/Stxbp5",22,1.67524493131897,0.0514018691588785,0.0197476376393368,2.60293763222023,4.36055807491634,"Astrocytes","24hrvs1hr_SAL"
"GO:0043194","GO:0043194","axon initial segment","6/428","28/17673",4.66779096192426e-05,0.0217519058825671,0.000458061659760989,"Dlg2/Ank3/Cntnap2/Lrrc7/Adam22/Map2",6,1.66250268454754,0.014018691588785,0.00158433769026198,8.84829773030708,14.7103187303114,"Astrocytes","24hrvs1hr_SAL"
"GO:0060077","GO:0060077","inhibitory synapse","6/428","29/17673",5.76605096225714e-05,0.0268697974841183,0.000539212907248963,"Gabrb3/Syt11/Pclo/Cep112/Nptn/Gabra2",6,1.57073560680321,0.014018691588785,0.00164092117919991,8.5431840154689,13.419083328569,"Astrocytes","24hrvs1hr_SAL"
"GO:0030426","GO:0030426","growth cone","16/428","211/17673",5.84924728105709e-05,0.027257492329726,0.000539212907248963,"Hsp90aa1/Hsp90ab1/Calm1/Palld/Map1b/Trak1/Map2/Mapt/Agrn/Pard3/Pclo/Hnrnpr/Ywhae/App/Prex1/Myo9a",16,1.56451410145283,0.0373831775700935,0.0119391161659028,3.13115117154626,4.89873016166469,"Astrocytes","24hrvs1hr_SAL"
"GO:0030427","GO:0030427","site of polarized growth","16/428","218/17673",8.61712446524765e-05,0.0401558000080541,0.000771005873206369,"Hsp90aa1/Hsp90ab1/Calm1/Palld/Map1b/Trak1/Map2/Mapt/Agrn/Pard3/Pclo/Hnrnpr/Ywhae/App/Prex1/Myo9a",16,1.39625171739473,0.0373831775700935,0.0123352005884683,3.03060962016634,4.23149388691024,"Astrocytes","24hrvs1hr_SAL"
"GO:0034703","GO:0034703","cation channel complex","14/428","175/17673",9.50588194014259e-05,0.0442974098410645,0.000826225528030439,"Cntnap2/Kcnip4/Cacna2d1/Dpp6/Calm1/Grik2/Akap6/Cachd1/Kcnq5/Cacna2d3/Kcnd2/Pde4d/Pde4b/Cacnb2",14,1.3536216671092,0.0327102803738318,0.00990211056413738,3.30336448598131,4.47150574258335,"Astrocytes","24hrvs1hr_SAL"
