"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Chd5",0.000266289541627178,-0.985876351529537,0.256,0.271,1,"Chd5","CGE","24hrvs1hr_SAL","Down","Sig"
"mt-Cytb",0.000291049726762029,-1.09672343088697,0.317,0.467,1,"mt-Cytb","CGE","24hrvs1hr_SAL","Down","Sig"
"L3mbtl3",0.000302083333395001,1.68590881516028,0.302,0.093,1,"L3mbtl3","CGE","24hrvs1hr_SAL","Up","Sig"
"Mir100hg",0.000307762438677399,0.394676126844649,0.91,0.748,1,"Mir100hg","CGE","24hrvs1hr_SAL","Up","Sig"
"Epha6",0.000347662294164712,-0.273090864762004,0.613,0.603,1,"Epha6","CGE","24hrvs1hr_SAL","Down","Sig"
"A330023F24Rik",0.000352260343518527,-0.351330303172766,0.528,0.355,1,"A330023F24Rik","CGE","24hrvs1hr_SAL","Down","Sig"
"Serpini1",0.000356199344308194,-1.02081410025812,0.256,0.299,1,"Serpini1","CGE","24hrvs1hr_SAL","Down","Sig"
"Epb41l5",0.000383982376020275,1.61267929376243,0.296,0.098,1,"Epb41l5","CGE","24hrvs1hr_SAL","Up","Sig"
"Brwd3",0.000441833986648463,0.886793888786171,0.387,0.15,1,"Brwd3","CGE","24hrvs1hr_SAL","Up","Sig"
"Myl6",0.000459219859606689,-1.43995703603178,0.176,0.266,1,"Myl6","CGE","24hrvs1hr_SAL","Down","Sig"
"Rbmx",0.000474013144920431,1.25678662113543,0.332,0.121,1,"Rbmx","CGE","24hrvs1hr_SAL","Up","Sig"
"Qk",0.000533773224641024,-0.419347920191656,0.764,0.766,1,"Qk","CGE","24hrvs1hr_SAL","Down","Sig"
"Lrch3",0.000613390140266012,0.68163899649848,0.563,0.28,1,"Lrch3","CGE","24hrvs1hr_SAL","Up","Sig"
"Galntl6",0.000619902551964983,-0.118054868208561,0.874,0.921,1,"Galntl6","CGE","24hrvs1hr_SAL","Down","pValue"
"9530059O14Rik",0.000688285187045118,0.0218732331346366,0.387,0.36,1,"9530059O14Rik","CGE","24hrvs1hr_SAL","Up","pValue"
"Gabrg3",0.000748878295163255,0.234826742974517,0.729,0.734,1,"Gabrg3","CGE","24hrvs1hr_SAL","Up","Sig"
"Sncaip",0.000774427735221637,1.36264862733616,0.352,0.154,1,"Sncaip","CGE","24hrvs1hr_SAL","Up","Sig"
"Scd2",0.000804514304675076,-0.945291203500846,0.266,0.336,1,"Scd2","CGE","24hrvs1hr_SAL","Down","Sig"
"Csmd3",0.00081426124597379,-0.229167441122631,0.899,0.939,1,"Csmd3","CGE","24hrvs1hr_SAL","Down","Sig"
"Grm5",0.000869108549192065,-0.243893417020845,0.884,0.911,1,"Grm5","CGE","24hrvs1hr_SAL","Down","Sig"
"Mir99ahg",0.000982393606319648,0.28289178309694,0.96,0.939,1,"Mir99ahg","CGE","24hrvs1hr_SAL","Up","Sig"
