"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Grm7",3.2964639707622e-08,-0.852348548375125,0.172,0.277,0.000825665330756808,"Grm7","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"5730522E02Rik",3.9121652346783e-08,-0.873506473768243,0.198,0.305,0.000979880026329873,"5730522E02Rik","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Gm11266",5.02097506288599e-08,1.29216238710568,0.395,0.147,0.00125760362400105,"Gm11266","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Hsp90ab1",6.29332774259599e-08,-1.73127677254935,0.145,0.288,0.00157628979968802,"Hsp90ab1","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Tspan7",6.53067800041783e-08,0.381874184014663,0.926,0.864,0.00163573891876465,"Tspan7","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Sema6d",1.27200174846286e-07,0.539154097939575,0.898,0.791,0.00318598277937493,"Sema6d","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Gnao1",1.29037739710174e-07,0.654077897313695,0.775,0.593,0.00323200826652073,"Gnao1","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"mt-Co3",1.41957925874232e-07,-0.889126327353325,0.466,0.633,0.0035556201693719,"mt-Co3","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Ppfia2",1.53465897818259e-07,-0.786098640734042,0.164,0.26,0.00384386034265393,"Ppfia2","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Grin2b",1.87887831482787e-07,-0.608397337434022,0.37,0.412,0.00470602651514936,"Grin2b","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Nova1",2.01224248399476e-07,0.682621231228469,0.628,0.362,0.00504006374966167,"Nova1","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Tnfaip8",2.16933240549286e-07,1.10498714559384,0.446,0.22,0.00543352687603796,"Tnfaip8","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Hs6st3",2.35758431009249e-07,-1.27062352946988,0.198,0.288,0.00590504142148866,"Hs6st3","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Gpc6",2.58430860686946e-07,0.40089390877219,0.896,0.734,0.00647291776762594,"Gpc6","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Lrrc7",3.19315262349259e-07,-0.629389748891135,0.319,0.373,0.00799788937606188,"Lrrc7","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Nrg1",3.28159540391483e-07,-0.422988294784147,0.425,0.599,0.00821941200818546,"Nrg1","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Prex2",3.50274717375622e-07,1.23981202310866,0.458,0.26,0.0087733308461072,"Prex2","Astrocytes","24hrvs1hr_SAL","Up","Sig"
