"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Maged1",0.519321410974398,0.21888109355245,0.61,0.642,1,"Maged1","ExN_CA3","24hrvs1hr_PTZ","Up","log2FC"
"Cnnm2",0.519448302317935,0.0676997493545745,0.324,0.353,1,"Cnnm2","ExN_CA3","24hrvs1hr_PTZ","Up","NoChange"
"Cdc27",0.519449470922333,-0.0515227135897875,0.405,0.478,1,"Cdc27","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Tspan18",0.519836520820166,-0.014340429913868,0.513,0.53,1,"Tspan18","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Gnas",0.52001718397877,0.0251567314652588,0.711,0.796,1,"Gnas","ExN_CA3","24hrvs1hr_PTZ","Up","NoChange"
"Mef2d",0.521297545730396,-0.195546007362899,0.233,0.286,1,"Mef2d","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Dnajc1",0.52277062749048,-0.0335226829489337,0.767,0.824,1,"Dnajc1","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Srsf3",0.522901755412787,0.0469862230653001,0.368,0.398,1,"Srsf3","ExN_CA3","24hrvs1hr_PTZ","Up","NoChange"
"Ankrd13c",0.522937081281976,-0.0291360555521726,0.35,0.392,1,"Ankrd13c","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"2610507B11Rik",0.522991811093778,0.0482953323332593,0.419,0.452,1,"2610507B11Rik","ExN_CA3","24hrvs1hr_PTZ","Up","NoChange"
"Cep120",0.523670441831585,-0.0845868380074148,0.328,0.392,1,"Cep120","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Gas5",0.524323662454873,-0.0274193459797508,0.377,0.442,1,"Gas5","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Gm40841",0.524451547214957,-0.261925477691531,0.313,0.384,1,"Gm40841","ExN_CA3","24hrvs1hr_PTZ","Down","log2FC"
"Orc2",0.524819565898048,-0.00719281132351712,0.258,0.3,1,"Orc2","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Golm1",0.526668104688325,-0.0659573528229086,0.315,0.395,1,"Golm1","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Acbd5",0.526765921709321,0.00938060551047637,0.291,0.332,1,"Acbd5","ExN_CA3","24hrvs1hr_PTZ","Up","NoChange"
"Kcnk2",0.526795879759556,0.143827519538908,0.3,0.352,1,"Kcnk2","ExN_CA3","24hrvs1hr_PTZ","Up","NoChange"
"Mga",0.527519848707754,0.158280021060482,0.511,0.569,1,"Mga","ExN_CA3","24hrvs1hr_PTZ","Up","NoChange"
"Pten",0.528235342988474,-0.0402757767532662,0.604,0.696,1,"Pten","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Nsd2",0.529579346998522,-0.0347220985604121,0.595,0.682,1,"Nsd2","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Fnbp1l",0.529593969342532,-0.115869632958477,0.489,0.526,1,"Fnbp1l","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Epha7",0.53017524782942,-0.238630496594215,0.762,0.856,1,"Epha7","ExN_CA3","24hrvs1hr_PTZ","Down","log2FC"
"Kdm1a",0.530582167930838,-0.0685803439222095,0.509,0.593,1,"Kdm1a","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Rbm33",0.53094441511797,-0.221964131337046,0.401,0.488,1,"Rbm33","ExN_CA3","24hrvs1hr_PTZ","Down","log2FC"
"Asph",0.531931733789123,-0.159172972122668,0.595,0.657,1,"Asph","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
"Ttc37",0.533192568991829,-0.0283870590513427,0.478,0.551,1,"Ttc37","ExN_CA3","24hrvs1hr_PTZ","Down","NoChange"
