"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Tubb2a",4.20695129829918e-13,-0.510258002006432,0.692,0.837,1.05371509168499e-08,"Tubb2a","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Hsp90ab1",5.83427488550628e-13,-0.460381034600978,0.634,0.841,1.46131083057276e-08,"Hsp90ab1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Olfm1",7.18689980994563e-13,-0.695318200319447,0.489,0.693,1.80010279539708e-08,"Olfm1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Stxbp5l",8.125348076211e-13,-0.459971786376061,0.861,0.953,2.03515593264857e-08,"Stxbp5l","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Fgf14",1.15191413217308e-12,-0.215467017720849,1,1,2.88519932685391e-08,"Fgf14","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Uchl1",1.26572295162479e-12,-0.564100441006416,0.544,0.736,3.1702562769346e-08,"Uchl1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rpl24",1.34269864990552e-12,-0.94270421493972,0.126,0.315,3.36305730841835e-08,"Rpl24","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ubb",1.40770112861528e-12,-0.749491475982108,0.337,0.556,3.52586901684268e-08,"Ubb","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Mdh1",1.45894658518963e-12,-0.620162368851734,0.33,0.564,3.65422351192446e-08,"Mdh1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Itm2b",2.6243647735035e-12,-0.465704608857438,0.634,0.831,6.57324644819421e-08,"Itm2b","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Pfn1",2.79323323960805e-12,-0.930131382064274,0.104,0.28,6.99621129524628e-08,"Pfn1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Mirg",2.86612510879594e-12,0.515053134421602,0.872,0.872,7.17878356000119e-08,"Mirg","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
