"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Eny2",8.50224545791142e-05,0.092697395111025,0.27,0.158,1,"Eny2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Dcun1d5",8.56682528939606e-05,0.0377208529459929,0.401,0.253,1,"Dcun1d5","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Mgat5",8.73690060376367e-05,0.124482559568675,0.52,0.341,1,"Mgat5","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Kif21b",8.84474156711862e-05,0.116886721057283,0.345,0.21,1,"Kif21b","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Lrch3",8.8522960286058e-05,0.227575673558747,0.56,0.375,1,"Lrch3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Astn1",8.8623385983069e-05,0.153074786087642,0.936,0.792,1,"Astn1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"B3galt1",8.90234688760423e-05,0.20296350736481,0.928,0.816,1,"B3galt1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Grb2",8.93593653211739e-05,0.0565624458294141,0.457,0.283,1,"Grb2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Smarca4",8.95467975927335e-05,-0.0227110377929088,0.558,0.345,1,"Smarca4","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Apex2",8.96103790197054e-05,0.0462174958988023,0.529,0.341,1,"Apex2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Fam118b",8.98301315175931e-05,0.0764391681757413,0.329,0.196,1,"Fam118b","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Exoc4",9.19427911129709e-05,0.179608035502461,0.96,0.852,1,"Exoc4","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Dag1",9.2598427921937e-05,0.119923459031809,0.404,0.263,1,"Dag1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ttc39c",9.3097599858943e-05,-0.0530998844408815,0.445,0.283,1,"Ttc39c","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Slc25a22",9.32292723537254e-05,0.194617328972576,0.322,0.2,1,"Slc25a22","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Crls1",9.34423694785055e-05,0.201685170106912,0.257,0.146,1,"Crls1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Copb1",9.35014123749717e-05,0.0652017862253489,0.368,0.226,1,"Copb1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rnf216",9.42238064572629e-05,0.0963962604613902,0.375,0.232,1,"Rnf216","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ipo4",9.44901785460631e-05,0.0417186108751624,0.309,0.184,1,"Ipo4","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rpl32",9.45331597081677e-05,0.0253667742182999,0.273,0.156,1,"Rpl32","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Nol10",9.53133898083405e-05,0.155462800323922,0.306,0.182,1,"Nol10","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Map7d2",9.54714593774078e-05,0.169939372781606,0.566,0.383,1,"Map7d2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Spire1",9.6320178769825e-05,0.098525510792191,0.621,0.419,1,"Spire1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Clec16a",9.74123619155788e-05,0.0861042487341207,0.451,0.283,1,"Clec16a","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ica1",9.7545557098391e-05,0.21225697042417,0.647,0.455,1,"Ica1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rspry1",9.76599858108568e-05,0.0954764455440589,0.352,0.214,1,"Rspry1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Kcmf1",9.77996746861394e-05,0.0622371588635858,0.397,0.244,1,"Kcmf1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Zfx",9.80458722480452e-05,0.192869873710644,0.268,0.156,1,"Zfx","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Smurf1",9.84056694554359e-05,-0.0515976012411583,0.447,0.281,1,"Smurf1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Fubp3",9.84200096487153e-05,0.0314424934299879,0.362,0.22,1,"Fubp3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rims2",9.84226826595387e-05,0.140642261412589,0.977,0.954,1,"Rims2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rps6kc1",9.87560265673763e-05,0.142224777674109,0.454,0.295,1,"Rps6kc1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Smarca5",9.98951628072595e-05,0.0853912903816266,0.434,0.275,1,"Smarca5","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rps12",9.99124577210441e-05,0.139342733430065,0.276,0.162,1,"Rps12","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Avl9",0.000100496768054242,0.222885025365046,0.316,0.192,1,"Avl9","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Snx13",0.000100777566884393,0.156541899450822,0.698,0.497,1,"Snx13","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Exoc5",0.000101212283140435,0.132741632648281,0.67,0.459,1,"Exoc5","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Elp1",0.000101216329882538,0.0670911582413086,0.416,0.265,1,"Elp1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Vta1",0.000102307392175582,0.121809116973336,0.288,0.168,1,"Vta1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Baiap2",0.000102667297397992,0.0764145001827941,0.472,0.301,1,"Baiap2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Uvrag",0.00010371473959284,0.0799947358971086,0.524,0.339,1,"Uvrag","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rlf",0.000104247917982734,0.149675760493173,0.542,0.351,1,"Rlf","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Snrk",0.000105938016455949,0.0894984084005432,0.284,0.166,1,"Snrk","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Psma1",0.000106486200676225,0.0179960945718758,0.331,0.202,1,"Psma1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Tspan5",0.000107221078385246,0.228200116184111,0.729,0.573,1,"Tspan5","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Thsd4",0.000107621524805378,0.0553819604297838,0.519,0.365,1,"Thsd4","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Prpf38b",0.000107913996516212,0.0584148924279637,0.336,0.198,1,"Prpf38b","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Camk2g",0.000108660399577863,0.202282109373685,0.357,0.224,1,"Camk2g","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Dhx15",0.000109093466475784,0.131878334696036,0.588,0.391,1,"Dhx15","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Klhl15",0.000109711861810085,0.107508807971033,0.298,0.18,1,"Klhl15","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ncs1",0.000110070763137629,0.0796723157251094,0.306,0.18,1,"Ncs1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rptor",0.000110838187095503,0.0193599402728769,0.548,0.357,1,"Rptor","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Cyfip2",0.000112112795021909,0.20416967927103,0.68,0.485,1,"Cyfip2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Tm9sf3",0.000112378185447908,-0.0589939150720235,0.442,0.277,1,"Tm9sf3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Erp29",0.000112393040168294,0.230462744056072,0.308,0.186,1,"Erp29","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Mtmr1",0.000112429726201287,0.105498017995104,0.598,0.395,1,"Mtmr1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Smpd4",0.000113113711263532,0.064887457487514,0.275,0.16,1,"Smpd4","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Cep135",0.000113308350825733,0.0566118093415284,0.254,0.144,1,"Cep135","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rps10",0.000113506795590996,0.118591200279766,0.398,0.248,1,"Rps10","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Eif4e",0.000113776572572793,0.111143144243544,0.443,0.285,1,"Eif4e","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Usp8",0.000114965566782084,-0.0461239964600336,0.374,0.222,1,"Usp8","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Brwd3",0.000115981826718233,0.108714434742569,0.469,0.309,1,"Brwd3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Pex14",0.000116372510393081,-0.12504838575426,0.252,0.142,1,"Pex14","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Slc1a2",0.000116970398936183,0.207821615530852,0.775,0.601,1,"Slc1a2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Dlc1",0.000117614752351259,0.114639310811161,0.547,0.369,1,"Dlc1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Dip2b",0.000118270119880056,0.109833464308479,0.698,0.485,1,"Dip2b","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Dnajc13",0.000118474173222222,0.142104385323956,0.588,0.403,1,"Dnajc13","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ube2e3",0.000119021965035694,0.200263110076058,0.399,0.257,1,"Ube2e3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Adam11",0.000119426918948984,0.159206687187438,0.598,0.397,1,"Adam11","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Stx1a",0.000120941021773347,0.270466439103905,0.345,0.214,1,"Stx1a","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Dnal1",0.000121110519657241,0.149637201639639,0.322,0.194,1,"Dnal1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Eif4enif1",0.000121209850795847,0.0706938661240621,0.276,0.16,1,"Eif4enif1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Wdr26",0.000121262112562377,0.141514141225275,0.531,0.359,1,"Wdr26","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
