"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Slc17a7",1.72806708768093e-07,0.371797747607544,0.599,0.361,0.00432828963451442,"Slc17a7","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"9630014M24Rik",1.73118193355834e-07,0.278727546701533,0.332,0.169,0.00433609138898356,"9630014M24Rik","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Clvs1",1.73515812306479e-07,0.254664670004903,0.756,0.478,0.00434605055084038,"Clvs1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ide",1.76846061827231e-07,0.187690032083628,0.399,0.208,0.00442946331058666,"Ide","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Epg5",1.76908284340112e-07,0.285812906359865,0.361,0.182,0.0044310217978668,"Epg5","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Kif3c",1.78474347267548e-07,0.209229955559736,0.404,0.212,0.00447024697601029,"Kif3c","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Kdm2b",1.79108547296566e-07,0.0640097700208917,0.361,0.186,0.0044861317841371,"Kdm2b","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Celf1",1.82864720517316e-07,0.240050328455073,0.867,0.595,0.00458021265479721,"Celf1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Slc38a1",1.83059727455554e-07,0.178378237643993,0.439,0.234,0.00458509699357925,"Slc38a1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cep135",1.83617377114279e-07,0.201550468789942,0.255,0.113,0.00459906444458135,"Cep135","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Nol10",1.84088506412784e-07,0.364176111257346,0.302,0.143,0.00461086482012101,"Nol10","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Pdzd2",1.84182752164646e-07,0.380538969465141,0.61,0.383,0.00461322539346789,"Pdzd2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Vwa8",1.84496999620941e-07,0.280656403924838,0.451,0.249,0.00462109634950571,"Vwa8","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Stau1",1.8669413437635e-07,0.108424247142504,0.265,0.121,0.00467612798372443,"Stau1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
