"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Dclk1",0.0102251444354552,0.468333162654385,0.338,0.224,1,"Dclk1","OPCs","PTZvsSAL_1hr","Up"
"Ahi1",0.010289106267955,0.254848419674837,0.343,0.214,1,"Ahi1","OPCs","PTZvsSAL_1hr","Up"
"Ttyh1",0.0103541494553431,-0.770205959838815,0.175,0.255,1,"Ttyh1","OPCs","PTZvsSAL_1hr","Down"
"Paxbp1",0.0105215621502051,0.537950441352514,0.28,0.172,1,"Paxbp1","OPCs","PTZvsSAL_1hr","Up"
"Ppp3ca",0.0110312078859528,0.333012293330901,0.616,0.484,1,"Ppp3ca","OPCs","PTZvsSAL_1hr","Up"
"Chsy3",0.0120288914556816,0.381717305244922,0.275,0.172,1,"Chsy3","OPCs","PTZvsSAL_1hr","Up"
"Nptn",0.0121316808623561,0.413351280014952,0.285,0.172,1,"Nptn","OPCs","PTZvsSAL_1hr","Up"
"Kdm6a",0.0121745946093456,0.345755640801621,0.28,0.172,1,"Kdm6a","OPCs","PTZvsSAL_1hr","Up"
"Chd4",0.0122051793970386,0.507320678667733,0.28,0.177,1,"Chd4","OPCs","PTZvsSAL_1hr","Up"
"Smyd3",0.0122407212496612,0.26646274391965,0.418,0.292,1,"Smyd3","OPCs","PTZvsSAL_1hr","Up"
"Arhgap31",0.0124121740341242,0.2510878310603,0.569,0.432,1,"Arhgap31","OPCs","PTZvsSAL_1hr","Up"
"Slc22a17",0.0126798300485401,0.369756758009693,0.518,0.375,1,"Slc22a17","OPCs","PTZvsSAL_1hr","Up"
"Pde4d",0.0132904947778033,-0.207264585865298,0.839,0.854,1,"Pde4d","OPCs","PTZvsSAL_1hr","Down"
"Fubp1",0.0137085040875505,-0.539441538967128,0.423,0.479,1,"Fubp1","OPCs","PTZvsSAL_1hr","Down"
"Itfg1",0.013871819129739,0.130778459775349,0.302,0.188,1,"Itfg1","OPCs","PTZvsSAL_1hr","Up"
"Gpc5",0.0146020728656913,0.183533440378168,0.932,0.958,1,"Gpc5","OPCs","PTZvsSAL_1hr","Up"
"Cyld",0.0155089419025139,0.663456908017658,0.255,0.167,1,"Cyld","OPCs","PTZvsSAL_1hr","Up"
"Arid4b",0.0162961140646709,0.495822584379485,0.294,0.193,1,"Arid4b","OPCs","PTZvsSAL_1hr","Up"
"Itm2b",0.0166696293872988,0.486181786426256,0.321,0.219,1,"Itm2b","OPCs","PTZvsSAL_1hr","Up"
"Diaph2",0.0174531682802366,0.313336500781276,0.516,0.37,1,"Diaph2","OPCs","PTZvsSAL_1hr","Up"
"Pcmtd2",0.0180592745597779,0.205182751733444,0.642,0.526,1,"Pcmtd2","OPCs","PTZvsSAL_1hr","Up"
"Atp11b",0.0180944106122039,0.518305506015355,0.297,0.198,1,"Atp11b","OPCs","PTZvsSAL_1hr","Up"
"Rsrc2",0.0182958373998956,0.260766740595391,0.265,0.161,1,"Rsrc2","OPCs","PTZvsSAL_1hr","Up"
"Rasa1",0.0184123275933839,0.466445119583366,0.321,0.219,1,"Rasa1","OPCs","PTZvsSAL_1hr","Up"
"Ints6l",0.0184561761853919,0.489875842581374,0.258,0.161,1,"Ints6l","OPCs","PTZvsSAL_1hr","Up"
"Apc",0.0185313531533001,-0.540014871786614,0.401,0.469,1,"Apc","OPCs","PTZvsSAL_1hr","Down"
"Ube2e2",0.018609521413384,-0.342725147619456,0.526,0.583,1,"Ube2e2","OPCs","PTZvsSAL_1hr","Down"
"Sltm",0.0193933834034914,0.465779491401077,0.251,0.151,1,"Sltm","OPCs","PTZvsSAL_1hr","Up"
