"","target","source","weight"
"364","Foxp1","Slc4a10",0.0801718017681057
"365","Esrrg","Slc4a10",0.0381536665801895
"366","Rora","Slc4a10",0.0919911004851893
"367","Tcf4","Slc4a10",0.115838927681829
"368","Bach2","Slc4a10",0.0499034961412947
"369","Bcl11a","Slc4a10",0.0632136508515644
"370","Nfix","Slc4a10",0.0525887757417211
"371","Zbtb16","Slc4a10",0.048771701781011
"372","Zeb2","Slc4a10",0.0702911510397059
"373","Zfp811","Slc4a10",0.0138880406128127
"374","Hnrnpll","Slc4a10",0.0314806374645936
"375","Las1l","Slc4a10",0.0445794777717642
"376","Rufy3","Slc4a10",0.0408887214513639
"377","Snrnp70","Slc4a10",0.0627470723654359
"378","Zmat4","Slc4a10",0.0526524233994967
"379","Sox5","Dync1i2",0.0455554592577895
"380","Pbx1","Dync1i2",0.0751896900082609
"381","Pou2f2","Dync1i2",0.0192693922262887
"382","Foxp1","Dync1i2",0.0792435320744148
"383","Esrrg","Dync1i2",0.0302181033174499
"384","Rora","Dync1i2",0.0875819693104628
"385","Tcf4","Dync1i2",0.09181061544389
"386","Bach2","Dync1i2",0.0567891323256892
"387","Bcl11a","Dync1i2",0.0758942272655226
"388","Nfix","Dync1i2",0.0538744477584985
"389","Zbtb16","Dync1i2",0.0331096624348864
"390","Zeb2","Dync1i2",0.0774703339258625
"391","Zfp811","Dync1i2",0.0200045072958452
"392","Hnrnpll","Dync1i2",0.0331436398085112
"393","Las1l","Dync1i2",0.0619085860763516
"394","Rufy3","Dync1i2",0.0517561808459704
"395","Snrnp70","Dync1i2",0.0772576001611108
"396","Zmat4","Dync1i2",0.0299229204631951
"397","Sox5","Cwc22",0.0542524194137068
"398","Pbx1","Cwc22",0.081101023622444
"399","Pou2f2","Cwc22",0.0196203752788759
"400","Foxp1","Cwc22",0.0644060607070801
"401","Esrrg","Cwc22",0.0314858722259472
"402","Rora","Cwc22",0.0659706731804998
"403","Tcf4","Cwc22",0.103763045450497
"404","Bach2","Cwc22",0.0614963540755361
"405","Bcl11a","Cwc22",0.0546313661282788
"406","Nfix","Cwc22",0.0557808672403928
"407","Zbtb16","Cwc22",0.0395738072726411
"408","Zeb2","Cwc22",0.0847416113454085
"409","Zfp811","Cwc22",0.0199363737303599
