"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0043679","GO:0043679",6,"GO:0044309",3.97028386587095,202,"axon terminus","neuron spine",0.684441558441558,0.465,0.577
"GO:0032839","GO:0032839",16,"GO:0099738",3.85579650537884,33,"dendrite cytoplasm","cell cortex region",0.835519480519481,0.3602,0.723
"GO:0008328","GO:0008328",19,"GO:0008328",3.82787435489286,44,"ionotropic glutamate receptor complex","ionotropic glutamate receptor complex",0.838428571428571,0.5015,0
"GO:0030175","GO:0030175",20,"GO:0030175",3.7375241027255,100,"filopodium","filopodium",0.90574025974026,0.5415,0
"GO:0098878","GO:0098878",19,"GO:0008328",3.69161774706384,46,"neurotransmitter receptor complex","ionotropic glutamate receptor complex",0.860532467532467,0.5015,0.997
"GO:0034704","GO:0034704",12,"GO:0034702",3.616216740158,68,"calcium channel complex","monoatomic ion channel complex",0.872571428571429,0.259285714285714,0.877
"GO:0098858","GO:0098858",20,"GO:0030175",3.52491690500382,234,"actin-based cell projection","filopodium",0.898987012987013,0.5415,0.917
"GO:0097470","GO:0097470",21,"GO:0097470",3.40854007550293,29,"ribbon synapse","ribbon synapse",0.845116883116883,0.517,0
"GO:0099501","GO:0099501",15,"GO:0008021",3.40569934803528,147,"exocytic vesicle membrane","synaptic vesicle",0.859753246753247,0.211166666666667,0.924
"GO:0030672","GO:0030672",15,"GO:0008021",3.40569934803528,147,"synaptic vesicle membrane","synaptic vesicle",0.707311688311688,0.208666666666667,0.939
"GO:0005911","GO:0005911",22,"GO:0005911",3.38176239493516,543,"cell-cell junction","cell-cell junction",0.823480519480519,0.5755,0
"GO:0099522","GO:0099522",23,"GO:0099522",3.30740059112101,49,"cytosolic region","cytosolic region",0.95938961038961,0.5215,0
"GO:0099092","GO:0099092",2,"GO:0099572",3.24345276029261,44,"postsynaptic density, intracellular component","postsynaptic specialization",0.781298701298701,0.3506,0.792
"GO:0097440","GO:0097440",17,"GO:0043204",3.23537114448415,30,"apical dendrite","perikaryon",0.89251948051948,0.629,0.531
"GO:0043209","GO:0043209",24,"GO:0043209",3.2114276952865,208,"myelin sheath","myelin sheath",0.99787012987013,1,0
"GO:0099091","GO:0099091",2,"GO:0099572",3.06972426376711,52,"postsynaptic specialization, intracellular component","postsynaptic specialization",0.792545454545455,0.348,0.804
"GO:0098686","GO:0098686",1,"GO:0098984",2.66308084328372,61,"hippocampal mossy fiber to CA3 synapse","neuron to neuron synapse",0.820532467532468,0.3885,0.824
"GO:0043194","GO:0043194",4,"GO:0150034",2.61809457043616,29,"axon initial segment","distal axon",0.890090909090909,0.474,0.67
"GO:0030658","GO:0030658",15,"GO:0008021",2.60423568802725,190,"transport vesicle membrane","synaptic vesicle",0.858454545454545,0.2185,0.902
"GO:0030315","GO:0030315",25,"GO:0030315",2.53682081300055,72,"T-tubule","T-tubule",0.89974025974026,0.5405,0
"GO:0060077","GO:0060077",26,"GO:0060077",2.45941706365062,29,"inhibitory synapse","inhibitory synapse",0.854012987012987,1,0
"GO:0019897","GO:0019897",18,"GO:0019898",2.33398352842887,147,"extrinsic component of plasma membrane","extrinsic component of membrane",0.884246753246753,0.384333333333333,0.959
"GO:0099243","GO:0099243",18,"GO:0019898",2.30827898040956,31,"extrinsic component of synaptic membrane","extrinsic component of membrane",0.752974025974026,0.420666666666667,0.85
"GO:0098688","GO:0098688",11,"GO:0060076",2.21688534345882,37,"parallel fiber to Purkinje cell synapse","excitatory synapse",0.843337662337662,0.536,0.928
"GO:0099523","GO:0099523",23,"GO:0099522",2.02627396916978,32,"presynaptic cytosol","cytosolic region",0.801844155844156,0.5215,0.957
"GO:0031594","GO:0031594",27,"GO:0031594",1.83843071437784,109,"neuromuscular junction","neuromuscular junction",0.837844155844156,1,0
"GO:0034705","GO:0034705",12,"GO:0034702",1.75707092823835,91,"potassium channel complex","monoatomic ion channel complex",0.868194805194805,0.226428571428571,0.9
"GO:0031209","GO:0031209",28,"GO:0031209",1.63432660973737,13,"SCAR complex","SCAR complex",0.942116883116883,1,0
"GO:0015629","GO:0015629",29,"GO:0015629",1.58125312570719,507,"actin cytoskeleton","actin cytoskeleton",0.952636363636364,1,0
"GO:0005912","GO:0005912",22,"GO:0005911",1.51567749099969,154,"adherens junction","cell-cell junction",0.84438961038961,0.5755,0.849
"GO:0008076","GO:0008076",12,"GO:0034702",1.48441862514505,77,"voltage-gated potassium channel complex","monoatomic ion channel complex",0.833922077922078,0.238142857142857,0.883
"GO:0042383","GO:0042383",25,"GO:0030315",1.46951176584123,170,"sarcolemma","T-tubule",0.892246753246753,0.5405,0.919
"GO:0030863","GO:0030863",13,"GO:0005938",1.43644637686566,119,"cortical cytoskeleton","cell cortex",0.863337662337662,0.5465,0.907
"GO:0098684","GO:0098684",21,"GO:0097470",1.42696132786956,18,"photoreceptor ribbon synapse","ribbon synapse",0.850506493506494,0.517,0.966
"GO:0030016","GO:0030016",14,"GO:0005874",1.32432865133964,228,"myofibril","microtubule",0.93887012987013,0.607,0.786
